@W
W16X67|16 x 67||5.9917
W16X77|16 x 77||6.05
W16X89|16 x 89||6.125
W16X100|16 x 100||6.1417
W18X35|18 x 35||4.8417
W18X40|18 x 40||4.8833
W18X46|18 x 46||4.9167
W18X50|18 x 50||5.3833
W18X55|18 x 55||5.4
W18X60|18 x 60||5.425
W18X65|18 x 65||5.4667
W18X71|18 x 71||5.4917
W18X76|18 x 76||6.575
W18X86|18 x 86||6.625
W18X97|18 x 97||6.65
W18X106|18 x 106||6.6917
W18X119|18 x 119||6.7667
W18X130|18 x 130||6.7833
W18X143|18 x 143||6.8
W18X158|18 x 158||6.8583
W18X175|18 x 175||6.925
W18X192|18 x 192||7.0167
W18X211|18 x 211||7.0833
W18X234|18 x 234||7.1667
W18X258|18 x 258||7.2417
W18X283|18 x 283||7.3083
W18X311|18 x 311||7.3917
W21X44|21 x 44||5.4833
W21X48|21 x 48||6.0167
W21X50|21 x 50||5.5083
W21X55|21 x 55||6.075
W21X57|21 x 57||5.5667
W21X62|21 x 62||6.1083
W21X68|21 x 68||6.1333
W21X73|21 x 73||6.15
W21X83|21 x 83||6.2
W21X93|21 x 93||6.2417
W21X101|21 x 101||7.5083
W21X111|21 x 111||7.5167
W21X122|21 x 122||7.575
W21X132|21 x 132||7.5833
W21X147|21 x 147||7.6583
W21X166|21 x 166||7.6833
W21X182|21 x 182||7.7417
W21X201|21 x 201||7.8083
W21X223|21 x 223||7.8
W21X248|21 x 248||7.8667
W21X275|21 x 275||7.9417
W24X55|24 x 55||6.1333
W24X62|24 x 62||6.15
W24X68|24 x 68||6.8
W24X76|24 x 76||6.8333
W24X84|24 x 84||6.875
W24X94|24 x 94||6.9167
W24X103|24 x 103||6.9167
W24X104|24 x 104||8.125
W24X117|24 x 117||8.15
W24X131|24 x 131||8.2083
W24X146|24 x 146||8.2333
W24X162|24 x 162||8.3083
W24X176|24 x 176||8.3
W24X192|24 x 192||8.4167
W24X207|24 x 207||8.4167
W24X229|24 x 229||8.5
W24X250|24 x 250||8.5
W24X279|24 x 279||8.5833
W24X306|24 x 306||8.6667
W24X335|24 x 335||8.75
W24X370|24 x 370||8.9167
W27X84|27 x 84||7.625
W27X94|27 x 94||7.65
W27X102|27 x 102||7.675
W27X114|27 x 114||7.7333
W27X129|27 x 129||7.75
W27X146|27 x 146||9.0
W27X161|27 x 161||9.0833
W27X178|27 x 178||9.0833
W27X194|27 x 194||9.0833
W27X217|27 x 217||9.1667
W27X235|27 x 235||9.25
W27X258|27 x 258||9.3333
W27X281|27 x 281||9.4167
W27X307|27 x 307||9.4167
W27X336|27 x 336||9.5833
W27X368|27 x 368||9.5833
W27X539|27 x 539||10.0833
W30X90|30 x 90||8.2083
W30X99|30 x 99||8.2667
W30X108|30 x 108||8.2833
W30X116|30 x 116||8.3167
W30X124|30 x 124||8.3333
W30X132|30 x 132||8.3333
W30X148|30 x 148||8.4167
W30X173|30 x 173||9.8333
W30X191|30 x 191||9.9167
W30X211|30 x 211||9.9167
W30X235|30 x 235||10.0
W30X261|30 x 261||10.0833
W30X292|30 x 292||10.1667
W30X326|30 x 326||10.25
W30X357|30 x 357||10.3333
W30X391|30 x 391||10.4167
W33X118|33 x 118||9.0833
W33X130|33 x 130||9.1667
W33X141|33 x 141||9.1667
W33X152|33 x 152||9.25
W33X169|33 x 169||9.25
W33X201|33 x 201||10.5833
W33X221|33 x 221||10.6667
W33X241|33 x 241||10.75
W33X263|33 x 263||10.75
W33X291|33 x 291||10.8333
W33X318|33 x 318||10.9167
W33X354|33 x 354||11.0
W33X387|33 x 387||11.0833
W36X135|36 x 135||9.75
W36X150|36 x 150||9.75
W36X160|36 x 160||9.75
W36X170|36 x 170||9.8333
W36X182|36 x 182||9.8333
W36X194|36 x 194||9.9167
W36X210|36 x 210||9.9167
W36X231|36 x 231||11.3333
W36X232|36 x 232||10.0
W36X247|36 x 247||11.3333
W36X256|36 x 256||10.0
W36X262|36 x 262||11.4167
W36X282|36 x 282||11.4167
W36X286|36 x 286||10.0833
W36X302|36 x 302||11.5
W36X318|36 x 318||10.1667
W36X330|36 x 330||11.5
W36X350|36 x 350||10.3333
W36X361|36 x 361||11.5833
W36X387|36 x 387||10.4167
W36X395|36 x 395||11.6667
W36X441|36 x 441||11.75
W36X487|36 x 487||11.8333
W36X529|36 x 529||12.0
W36X652|36 x 652||12.25
W36X723|36 x 723||12.4167
W36X802|36 x 802||12.5833
W36X853|36 x 853||12.75
W36X925|36 x 925||12.75
W40X149|40 x 149||10.0
W40X167|40 x 167||10.0833
W40X183|40 x 183||10.1667
W40X199|40 x 199||11.4167
W40X211|40 x 211||10.1667
W40X215|40 x 215||11.5
W40X235|40 x 235||10.25
W40X249|40 x 249||11.5
W40X264|40 x 264||10.3333
W40X277|40 x 277||11.5833
W40X278|40 x 278||10.3333
W40X294|40 x 294||10.4167
W40X297|40 x 297||11.5833
W40X324|40 x 324||11.6667
W40X327|40 x 327||10.5
W40X331|40 x 331||10.5
W40X362|40 x 362||11.75
W40X372|40 x 372||11.75
W40X392|40 x 392||10.6667
W40X397|40 x 397||11.8333
W40X431|40 x 431||11.9167
W40X503|40 x 503||12.0833
W40X593|40 x 593||12.25
W40X655|40 x 655||12.4167
W44X230|44 x 230||12.1667
W44X262|44 x 262||12.25
W44X290|44 x 290||12.25
W44X335|44 x 335||12.3333
W44X368|44 x 368||12.4167
W44X408|44 x 408||12.5
@M
M3X2_9|3 x 2.9||1.1917
M4X4_08|4 x 4.08||1.35
M4X6|4 x 6||1.8333
M5X18_9|5 x 18.9||2.4
M6X3_7|6 x 3.7||1.6167
M6X4_4|6 x 4.4||1.575
M8X6_2|8 x 6.2||2.05
M8X6_5|8 x 6.5||2.0417
M10X7_5|10 x 7.5||2.5083
M10X8|10 x 8||2.5
M10X9|10 x 9||2.5083
M12X10|12 x 10||3.0167
M12X10_8|12 x 10.8||2.9583
M12X11_8|12 x 11.8||2.9583
M12_5X11_6|12.5 x 11.6||3.1917
M12_5X12_4|12.5 x 12.4||3.275
@S
S3X5_7|3 x 5.7||1.1667
S3X7_5|3 x 7.5||1.1917
S4X7_7|4 x 7.7||1.425
S4X9_5|4 x 9.5||1.4417
S5X10|5 x 10||1.6917
S6X12_5|6 x 12.5||1.9583
S6X17_25|6 x 17.25||2.0
S8X18_4|8 x 18.4||2.4833
S8X23|8 x 23||2.5083
S10X25_4|10 x 25.4||3.0083
S10X35|10 x 35||3.0583
S12X31_8|12 x 31.8||3.4417
S12X35|12 x 35||3.4583
S12X40_8|12 x 40.8||3.4917
S12X50|12 x 50||3.5333
S15X42_9|15 x 42.9||4.075
S15X50|15 x 50||4.1
S18X54_7|18 x 54.7||4.725
S18X70|18 x 70||4.7667
S20X66|20 x 66||5.125
S20X75|20 x 75||5.15
S20X86|20 x 86||5.4083
S20X96|20 x 96||5.425
S24X80|24 x 80||6.0167
S24X90|24 x 90||6.0417
S24X100|24 x 100||6.0667
S24X106|24 x 106||6.3583
S24X121|24 x 121||6.3833
@HSS_RECT
HSS2X1X1_8|2 x 1 x 1/8||0.5
HSS2X1X3_16|2 x 1 x 3/16||0.5
HSS2X1_1_2X1_8|2 x 1-1/2 x 1/8||0.5833
HSS2X1_1_2X3_16|2 x 1-1/2 x 3/16||0.5833
HSS2X2X1_8|2 x 2 x 1/8||0.6667
HSS2X2X3_16|2 x 2 x 3/16||0.6667
HSS2X2X1_4|2 x 2 x 1/4||0.6667
HSS2_1_4X2X1_8|2-1/4 x 2 x 1/8||0.7083
HSS2_1_4X2X3_16|2-1/4 x 2 x 3/16||0.7083
HSS2_1_4X2_1_4X1_8|2-1/4 x 2-1/4 x 1/8||0.75
HSS2_1_4X2_1_4X3_16|2-1/4 x 2-1/4 x 3/16||0.75
HSS2_1_4X2_1_4X1_4|2-1/4 x 2-1/4 x 1/4||0.75
HSS2_1_2X1X1_8|2-1/2 x 1 x 1/8||0.5833
HSS2_1_2X1X3_16|2-1/2 x 1 x 3/16||0.5833
HSS2_1_2X1_1_2X1_8|2-1/2 x 1-1/2 x 1/8||0.6667
HSS2_1_2X1_1_2X3_16|2-1/2 x 1-1/2 x 3/16||0.6667
HSS2_1_2X1_1_2X1_4|2-1/2 x 1-1/2 x 1/4||0.6667
HSS2_1_2X2X1_8|2-1/2 x 2 x 1/8||0.75
HSS2_1_2X2X3_16|2-1/2 x 2 x 3/16||0.75
HSS2_1_2X2X1_4|2-1/2 x 2 x 1/4||0.75
HSS2_1_2X2_1_2X1_8|2-1/2 x 2-1/2 x 1/8||0.8333
HSS2_1_2X2_1_2X3_16|2-1/2 x 2-1/2 x 3/16||0.8333
HSS2_1_2X2_1_2X1_4|2-1/2 x 2-1/2 x 1/4||0.8333
HSS2_1_2X2_1_2X5_16|2-1/2 x 2-1/2 x 5/16||0.8333
HSS3X1X1_8|3 x 1 x 1/8||0.6667
HSS3X1X3_16|3 x 1 x 3/16||0.6667
HSS3X1_1_2X1_8|3 x 1-1/2 x 1/8||0.75
HSS3X1_1_2X3_16|3 x 1-1/2 x 3/16||0.75
HSS3X1_1_2X1_4|3 x 1-1/2 x 1/4||0.75
HSS3X2X1_8|3 x 2 x 1/8||0.8333
HSS3X2X3_16|3 x 2 x 3/16||0.8333
HSS3X2X1_4|3 x 2 x 1/4||0.8333
HSS3X2X5_16|3 x 2 x 5/16||0.8333
HSS3X2_1_2X1_8|3 x 2-1/2 x 1/8||0.9167
HSS3X2_1_2X3_16|3 x 2-1/2 x 3/16||0.9167
HSS3X2_1_2X1_4|3 x 2-1/2 x 1/4||0.9167
HSS3X2_1_2X5_16|3 x 2-1/2 x 5/16||0.9167
HSS3X3X1_8|3 x 3 x 1/8||1.0
HSS3X3X3_16|3 x 3 x 3/16||1.0
HSS3X3X1_4|3 x 3 x 1/4||1.0
HSS3X3X5_16|3 x 3 x 5/16||1.0
HSS3X3X3_8|3 x 3 x 3/8||1.0
HSS3_1_2X1_1_2X1_8|3-1/2 x 1-1/2 x 1/8||0.8333
HSS3_1_2X1_1_2X3_16|3-1/2 x 1-1/2 x 3/16||0.8333
HSS3_1_2X1_1_2X1_4|3-1/2 x 1-1/2 x 1/4||0.8333
HSS3_1_2X2X1_8|3-1/2 x 2 x 1/8||0.9167
HSS3_1_2X2X3_16|3-1/2 x 2 x 3/16||0.9167
HSS3_1_2X2X1_4|3-1/2 x 2 x 1/4||0.9167
HSS3_1_2X2_1_2X1_8|3-1/2 x 2-1/2 x 1/8||1.0
HSS3_1_2X2_1_2X3_16|3-1/2 x 2-1/2 x 3/16||1.0
HSS3_1_2X2_1_2X1_4|3-1/2 x 2-1/2 x 1/4||1.0
HSS3_1_2X2_1_2X5_16|3-1/2 x 2-1/2 x 5/16||1.0
HSS3_1_2X2_1_2X3_8|3-1/2 x 2-1/2 x 3/8||1.0
HSS3_1_2X3_1_2X1_8|3-1/2 x 3-1/2 x 1/8||1.1667
HSS3_1_2X3_1_2X3_16|3-1/2 x 3-1/2 x 3/16||1.1667
HSS3_1_2X3_1_2X1_4|3-1/2 x 3-1/2 x 1/4||1.1667
HSS3_1_2X3_1_2X5_16|3-1/2 x 3-1/2 x 5/16||1.1667
HSS3_1_2X3_1_2X3_8|3-1/2 x 3-1/2 x 3/8||1.1667
HSS4X2X1_8|4 x 2 x 1/8||1.0
HSS4X2X3_16|4 x 2 x 3/16||1.0
HSS4X2X1_4|4 x 2 x 1/4||1.0
HSS4X2X5_16|4 x 2 x 5/16||1.0
HSS4X2X3_8|4 x 2 x 3/8||1.0
HSS4X2_1_2X1_8|4 x 2-1/2 x 1/8||1.0833
HSS4X2_1_2X3_16|4 x 2-1/2 x 3/16||1.0833
HSS4X2_1_2X1_4|4 x 2-1/2 x 1/4||1.0833
HSS4X2_1_2X5_16|4 x 2-1/2 x 5/16||1.0833
HSS4X2_1_2X3_8|4 x 2-1/2 x 3/8||1.0833
HSS4X3X1_8|4 x 3 x 1/8||1.1667
HSS4X3X3_16|4 x 3 x 3/16||1.1667
HSS4X3X1_4|4 x 3 x 1/4||1.1667
HSS4X3X5_16|4 x 3 x 5/16||1.1667
HSS4X3X3_8|4 x 3 x 3/8||1.1667
HSS4X4X1_8|4 x 4 x 1/8||1.3333
HSS4X4X3_16|4 x 4 x 3/16||1.3333
HSS4X4X1_4|4 x 4 x 1/4||1.3333
HSS4X4X5_16|4 x 4 x 5/16||1.3333
HSS4X4X3_8|4 x 4 x 3/8||1.3333
HSS4X4X1_2|4 x 4 x 1/2||1.3333
HSS4_1_2X4_1_2X1_8|4-1/2 x 4-1/2 x 1/8||1.5
HSS4_1_2X4_1_2X3_16|4-1/2 x 4-1/2 x 3/16||1.5
HSS4_1_2X4_1_2X1_4|4-1/2 x 4-1/2 x 1/4||1.5
HSS4_1_2X4_1_2X5_16|4-1/2 x 4-1/2 x 5/16||1.5
HSS4_1_2X4_1_2X3_8|4-1/2 x 4-1/2 x 3/8||1.5
HSS4_1_2X4_1_2X1_2|4-1/2 x 4-1/2 x 1/2||1.5
HSS5X2X1_8|5 x 2 x 1/8||1.1667
HSS5X2X3_16|5 x 2 x 3/16||1.1667
HSS5X2X1_4|5 x 2 x 1/4||1.1667
HSS5X2X5_16|5 x 2 x 5/16||1.1667
HSS5X2X3_8|5 x 2 x 3/8||1.1667
HSS5X2_1_2X1_8|5 x 2-1/2 x 1/8||1.25
HSS5X2_1_2X3_16|5 x 2-1/2 x 3/16||1.25
HSS5X2_1_2X1_4|5 x 2-1/2 x 1/4||1.25
HSS5X3X1_8|5 x 3 x 1/8||1.3333
HSS5X3X3_16|5 x 3 x 3/16||1.3333
HSS5X3X1_4|5 x 3 x 1/4||1.3333
HSS5X3X5_16|5 x 3 x 5/16||1.3333
HSS5X3X3_8|5 x 3 x 3/8||1.3333
HSS5X3X1_2|5 x 3 x 1/2||1.3333
HSS5X4X1_8|5 x 4 x 1/8||1.5
HSS5X4X3_16|5 x 4 x 3/16||1.5
HSS5X4X1_4|5 x 4 x 1/4||1.5
HSS5X4X5_16|5 x 4 x 5/16||1.5
HSS5X4X3_8|5 x 4 x 3/8||1.5
HSS5X4X1_2|5 x 4 x 1/2||1.5
HSS5X5X1_8|5 x 5 x 1/8||1.6667
HSS5X5X3_16|5 x 5 x 3/16||1.6667
HSS5X5X1_4|5 x 5 x 1/4||1.6667
HSS5X5X5_16|5 x 5 x 5/16||1.6667
HSS5X5X3_8|5 x 5 x 3/8||1.6667
HSS5X5X1_2|5 x 5 x 1/2||1.6667
HSS5_1_2X5_1_2X1_8|5-1/2 x 5-1/2 x 1/8||1.8333
HSS5_1_2X5_1_2X3_16|5-1/2 x 5-1/2 x 3/16||1.8333
HSS5_1_2X5_1_2X1_4|5-1/2 x 5-1/2 x 1/4||1.8333
HSS5_1_2X5_1_2X5_16|5-1/2 x 5-1/2 x 5/16||1.8333
HSS5_1_2X5_1_2X3_8|5-1/2 x 5-1/2 x 3/8||1.8333
HSS6X2X1_8|6 x 2 x 1/8||1.3333
HSS6X2X3_16|6 x 2 x 3/16||1.3333
HSS6X2X1_4|6 x 2 x 1/4||1.3333
HSS6X2X5_16|6 x 2 x 5/16||1.3333
HSS6X2X3_8|6 x 2 x 3/8||1.3333
HSS6X3X1_8|6 x 3 x 1/8||1.5
HSS6X3X3_16|6 x 3 x 3/16||1.5
HSS6X3X1_4|6 x 3 x 1/4||1.5
HSS6X3X5_16|6 x 3 x 5/16||1.5
HSS6X3X3_8|6 x 3 x 3/8||1.5
HSS6X3X1_2|6 x 3 x 1/2||1.5
HSS6X4X1_8|6 x 4 x 1/8||1.6667
HSS6X4X3_16|6 x 4 x 3/16||1.6667
HSS6X4X1_4|6 x 4 x 1/4||1.6667
HSS6X4X5_16|6 x 4 x 5/16||1.6667
HSS6X4X3_8|6 x 4 x 3/8||1.6667
HSS6X4X1_2|6 x 4 x 1/2||1.6667
HSS6X5X1_8|6 x 5 x 1/8||1.8333
HSS6X5X3_16|6 x 5 x 3/16||1.8333
HSS6X5X1_4|6 x 5 x 1/4||1.8333
HSS6X5X5_16|6 x 5 x 5/16||1.8333
HSS6X5X3_8|6 x 5 x 3/8||1.8333
HSS6X5X1_2|6 x 5 x 1/2||1.8333
HSS6X6X1_8|6 x 6 x 1/8||2.0
HSS6X6X3_16|6 x 6 x 3/16||2.0
HSS6X6X1_4|6 x 6 x 1/4||2.0
HSS6X6X5_16|6 x 6 x 5/16||2.0
HSS6X6X3_8|6 x 6 x 3/8||2.0
HSS6X6X1_2|6 x 6 x 1/2||2.0
HSS6X6X5_8|6 x 6 x 5/8||2.0
HSS7X2X1_8|7 x 2 x 1/8||1.5
HSS7X2X3_16|7 x 2 x 3/16||1.5
HSS7X2X1_4|7 x 2 x 1/4||1.5
HSS7X3X1_8|7 x 3 x 1/8||1.6667
HSS7X3X3_16|7 x 3 x 3/16||1.6667
HSS7X3X1_4|7 x 3 x 1/4||1.6667
HSS7X3X5_16|7 x 3 x 5/16||1.6667
HSS7X3X3_8|7 x 3 x 3/8||1.6667
HSS7X3X1_2|7 x 3 x 1/2||1.6667
HSS7X4X1_8|7 x 4 x 1/8||1.8333
HSS7X4X3_16|7 x 4 x 3/16||1.8333
HSS7X4X1_4|7 x 4 x 1/4||1.8333
HSS7X4X5_16|7 x 4 x 5/16||1.8333
HSS7X4X3_8|7 x 4 x 3/8||1.8333
HSS7X4X1_2|7 x 4 x 1/2||1.8333
HSS7X5X1_8|7 x 5 x 1/8||2.0
HSS7X5X3_16|7 x 5 x 3/16||2.0
HSS7X5X1_4|7 x 5 x 1/4||2.0
HSS7X5X5_16|7 x 5 x 5/16||2.0
HSS7X5X3_8|7 x 5 x 3/8||2.0
HSS7X5X1_2|7 x 5 x 1/2||2.0
HSS7X7X1_8|7 x 7 x 1/8||2.3333
HSS7X7X3_16|7 x 7 x 3/16||2.3333
HSS7X7X1_4|7 x 7 x 1/4||2.3333
HSS7X7X5_16|7 x 7 x 5/16||2.3333
HSS7X7X3_8|7 x 7 x 3/8||2.3333
HSS7X7X1_2|7 x 7 x 1/2||2.3333
HSS7X7X5_8|7 x 7 x 5/8||2.3333
HSS8X2X1_8|8 x 2 x 1/8||1.6667
HSS8X2X3_16|8 x 2 x 3/16||1.6667
HSS8X2X1_4|8 x 2 x 1/4||1.6667
HSS8X2X5_16|8 x 2 x 5/16||1.6667
HSS8X2X3_8|8 x 2 x 3/8||1.6667
HSS8X3X1_8|8 x 3 x 1/8||1.8333
HSS8X3X3_16|8 x 3 x 3/16||1.8333
HSS8X3X1_4|8 x 3 x 1/4||1.8333
HSS8X3X5_16|8 x 3 x 5/16||1.8333
HSS8X3X3_8|8 x 3 x 3/8||1.8333
HSS8X3X1_2|8 x 3 x 1/2||1.8333
HSS8X4X1_8|8 x 4 x 1/8||2.0
HSS8X4X3_16|8 x 4 x 3/16||2.0
HSS8X4X1_4|8 x 4 x 1/4||2.0
HSS8X4X5_16|8 x 4 x 5/16||2.0
HSS8X4X3_8|8 x 4 x 3/8||2.0
HSS8X4X1_2|8 x 4 x 1/2||2.0
HSS8X4X5_8|8 x 4 x 5/8||2.0
HSS8X6X3_16|8 x 6 x 3/16||2.3333
HSS8X6X1_4|8 x 6 x 1/4||2.3333
HSS8X6X5_16|8 x 6 x 5/16||2.3333
HSS8X6X3_8|8 x 6 x 3/8||2.3333
HSS8X6X1_2|8 x 6 x 1/2||2.3333
HSS8X6X5_8|8 x 6 x 5/8||2.3333
HSS8X8X1_8|8 x 8 x 1/8||2.6667
HSS8X8X3_16|8 x 8 x 3/16||2.6667
HSS8X8X1_4|8 x 8 x 1/4||2.6667
HSS8X8X5_16|8 x 8 x 5/16||2.6667
HSS8X8X3_8|8 x 8 x 3/8||2.6667
HSS8X8X1_2|8 x 8 x 1/2||2.6667
HSS8X8X5_8|8 x 8 x 5/8||2.6667
HSS9X3X3_16|9 x 3 x 3/16||2.0
HSS9X3X1_4|9 x 3 x 1/4||2.0
HSS9X3X5_16|9 x 3 x 5/16||2.0
HSS9X3X3_8|9 x 3 x 3/8||2.0
HSS9X3X1_2|9 x 3 x 1/2||2.0
HSS9X5X3_16|9 x 5 x 3/16||2.3333
HSS9X5X1_4|9 x 5 x 1/4||2.3333
HSS9X5X5_16|9 x 5 x 5/16||2.3333
HSS9X5X3_8|9 x 5 x 3/8||2.3333
HSS9X5X1_2|9 x 5 x 1/2||2.3333
HSS9X5X5_8|9 x 5 x 5/8||2.3333
HSS9X7X3_16|9 x 7 x 3/16||2.6667
HSS9X7X1_4|9 x 7 x 1/4||2.6667
HSS9X7X5_16|9 x 7 x 5/16||2.6667
HSS9X7X3_8|9 x 7 x 3/8||2.6667
HSS9X7X1_2|9 x 7 x 1/2||2.6667
HSS9X7X5_8|9 x 7 x 5/8||2.6667
HSS9X9X1_8|9 x 9 x 1/8||3.0
HSS9X9X3_16|9 x 9 x 3/16||3.0
HSS9X9X1_4|9 x 9 x 1/4||3.0
HSS9X9X5_16|9 x 9 x 5/16||3.0
HSS9X9X3_8|9 x 9 x 3/8||3.0
HSS9X9X1_2|9 x 9 x 1/2||3.0
HSS9X9X5_8|9 x 9 x 5/8||3.0
HSS10X2X1_8|10 x 2 x 1/8||2.0
HSS10X2X3_16|10 x 2 x 3/16||2.0
HSS10X2X1_4|10 x 2 x 1/4||2.0
HSS10X2X5_16|10 x 2 x 5/16||2.0
HSS10X2X3_8|10 x 2 x 3/8||2.0
HSS10X3X1_8|10 x 3 x 1/8||2.1667
HSS10X3X3_16|10 x 3 x 3/16||2.1667
HSS10X3X1_4|10 x 3 x 1/4||2.1667
HSS10X3X5_16|10 x 3 x 5/16||2.1667
HSS10X3X3_8|10 x 3 x 3/8||2.1667
HSS10X3_1_2X1_8|10 x 3-1/2 x 1/8||2.25
HSS10X3_1_2X3_16|10 x 3-1/2 x 3/16||2.25
HSS10X3_1_2X1_4|10 x 3-1/2 x 1/4||2.25
HSS10X3_1_2X5_16|10 x 3-1/2 x 5/16||2.25
HSS10X3_1_2X3_8|10 x 3-1/2 x 3/8||2.25
HSS10X3_1_2X1_2|10 x 3-1/2 x 1/2||2.25
HSS10X4X1_8|10 x 4 x 1/8||2.3333
HSS10X4X3_16|10 x 4 x 3/16||2.3333
HSS10X4X1_4|10 x 4 x 1/4||2.3333
HSS10X4X5_16|10 x 4 x 5/16||2.3333
HSS10X4X3_8|10 x 4 x 3/8||2.3333
HSS10X4X1_2|10 x 4 x 1/2||2.3333
HSS10X4X5_8|10 x 4 x 5/8||2.3333
HSS10X5X3_16|10 x 5 x 3/16||2.5
HSS10X5X1_4|10 x 5 x 1/4||2.5
HSS10X5X5_16|10 x 5 x 5/16||2.5
HSS10X5X3_8|10 x 5 x 3/8||2.5
HSS10X6X3_16|10 x 6 x 3/16||2.6667
HSS10X6X1_4|10 x 6 x 1/4||2.6667
HSS10X6X5_16|10 x 6 x 5/16||2.6667
HSS10X6X3_8|10 x 6 x 3/8||2.6667
HSS10X6X1_2|10 x 6 x 1/2||2.6667
HSS10X6X5_8|10 x 6 x 5/8||2.6667
HSS10X8X3_16|10 x 8 x 3/16||3.0
HSS10X8X1_4|10 x 8 x 1/4||3.0
HSS10X8X5_16|10 x 8 x 5/16||3.0
HSS10X8X3_8|10 x 8 x 3/8||3.0
HSS10X8X1_2|10 x 8 x 1/2||3.0
HSS10X8X5_8|10 x 8 x 5/8||3.0
HSS10X10X3_16|10 x 10 x 3/16||3.3333
HSS10X10X1_4|10 x 10 x 1/4||3.3333
HSS10X10X5_16|10 x 10 x 5/16||3.3333
HSS10X10X3_8|10 x 10 x 3/8||3.3333
HSS10X10X1_2|10 x 10 x 1/2||3.3333
HSS10X10X5_8|10 x 10 x 5/8||3.3333
HSS12X2X3_16|12 x 2 x 3/16||2.3333
HSS12X2X1_4|12 x 2 x 1/4||2.3333
HSS12X2X5_16|12 x 2 x 5/16||2.3333
HSS12X3X3_16|12 x 3 x 3/16||2.5
HSS12X3X1_4|12 x 3 x 1/4||2.5
HSS12X3X5_16|12 x 3 x 5/16||2.5
HSS12X3_1_2X5_16|12 x 3-1/2 x 5/16||2.5833
HSS12X3_1_2X3_8|12 x 3-1/2 x 3/8||2.5833
HSS12X4X3_16|12 x 4 x 3/16||2.6667
